time,gFx,gFy,gFz,TgF
3.261000,0.3546,0.4631,0.7284,0.877
3.266000,0.3791,0.4827,0.7352,0.901
3.276000,0.4240,0.4972,0.7694,0.951
3.289000,0.4611,0.4944,0.7939,0.983
3.296000,0.4768,0.4876,0.7939,0.987
3.311000,0.4651,0.4856,0.7792,0.969
3.316000,0.4632,0.4641,0.7655,0.948
3.326000,0.4436,0.4543,0.7420,0.917
3.336000,0.4338,0.4513,0.7294,0.902
3.346000,0.4299,0.4650,0.7068,0.889
3.357000,0.4015,0.4865,0.6834,0.870
3.366000,0.3624,0.4914,0.6629,0.842
3.376000,0.3370,0.4856,0.6434,0.816
3.386000,0.3312,0.4836,0.6365,0.807
3.396000,0.3868,0.4690,0.6600,0.837
3.409000,0.4378,0.4680,0.6795,0.872
3.416000,0.3898,0.4582,0.6248,0.806
3.426000,0.3430,0.4836,0.5964,0.781
3.437000,0.3370,0.4953,0.5642,0.762
3.446000,0.3654,0.4827,0.5319,0.742
3.456000,0.3468,0.4660,0.4723,0.684
3.466000,0.3176,0.4485,0.4322,0.634
3.476000,0.3116,0.4094,0.3727,0.568
3.488000,0.3155,0.3663,0.3345,0.518
3.496000,0.3127,0.3262,0.2964,0.469
3.506000,0.3067,0.3087,0.2563,0.432
3.516000,0.2911,0.3067,0.2085,0.396
3.527000,0.2823,0.3223,0.1880,0.393
3.541000,0.2843,0.4073,0.2476,0.484
3.546000,0.4006,0.5715,0.3071,0.690
3.556000,0.5579,0.7474,0.3570,0.924
3.566000,0.7299,0.8277,0.4098,1.100
3.576000,0.8364,0.8149,0.5319,1.206
3.589000,0.8189,0.7641,0.5593,1.175
3.596000,0.7954,0.7094,0.5183,1.107
3.607000,0.7905,0.7064,0.4821,1.086
3.618000,0.7837,0.7329,0.4469,1.084
3.627000,0.7318,0.7299,0.4273,1.040
3.637000,0.6449,0.7318,0.3981,0.977
3.646000,0.5520,0.7240,0.4333,0.935
3.656000,0.5149,0.7445,0.4498,0.939
3.667000,0.5228,0.7807,0.4166,0.956
3.676000,0.5354,0.8070,0.4224,0.985
3.686000,0.5774,0.8715,0.4039,1.048
3.696000,0.6185,0.9155,0.3443,1.083
3.706000,0.7289,0.9663,0.3990,1.199
3.717000,0.7651,0.9458,0.3883,1.200
3.726000,0.7651,0.9058,0.3844,1.169
3.736000,0.7250,0.8384,0.3316,1.079
3.746000,0.6547,0.8266,0.2915,1.017
3.756000,0.5941,0.8422,0.2935,0.997
3.768000,0.5462,0.8647,0.3159,0.998
3.776000,0.5070,0.8950,0.2926,0.998
3.786000,0.5208,0.9185,0.2808,1.021
3.796000,0.5335,0.9136,0.2964,1.027
3.809000,0.5843,0.9009,0.2524,1.029
3.816000,0.6136,0.8736,0.1850,1.008
3.826000,0.5980,0.8471,0.1811,0.977
3.836000,0.5921,0.8482,0.1792,0.975
3.848000,0.5774,0.8657,0.1586,0.978
3.856000,0.5628,0.8950,0.1577,0.996
3.867000,0.5736,0.9116,0.1273,1.011
3.876000,0.5687,0.9234,0.1303,1.019
3.886000,0.5540,0.9283,0.1459,1.018
3.902000,0.5559,0.9234,0.1244,1.012
3.907000,0.5785,0.9039,0.1098,1.005
3.916000,0.6204,0.8823,0.0501,1.005
3.926000,0.6605,0.8608,0.0315,1.010
3.936000,0.6908,0.8510,0.0315,1.020
3.947000,0.7006,0.8286,0.0238,1.008
3.956000,0.6840,0.8032,0.0228,0.978
3.967000,0.6498,0.7944,-0.0006,0.950
3.976000,0.6302,0.7993,-0.0026,0.942
3.988000,0.6419,0.8091,-0.0397,0.958
4.003000,0.6517,0.8070,-0.0474,0.963
4.006000,0.6850,0.8002,-0.0592,0.979
4.016000,0.7143,0.7709,-0.0504,0.975
4.027000,0.7553,0.7152,-0.0357,0.962
4.036000,0.7886,0.6605,-0.0162,0.948
