time,gFx,gFy,gFz,TgF
1.792000,-0.2991,0.1709,0.9169,0.985
1.802000,-0.3049,0.1797,0.9082,0.980
1.814000,-0.2961,0.1758,0.9141,0.982
1.832000,-0.2893,0.1797,0.9238,0.989
1.834000,-0.2756,0.1895,0.9229,0.984
1.850000,-0.2814,0.1904,0.9190,0.983
1.852000,-0.2765,0.1944,0.9150,0.978
1.864000,-0.2814,0.1923,0.9131,0.978
1.874000,-0.2873,0.1934,0.9120,0.979
1.882000,-0.2883,0.1836,0.9199,0.985
1.892000,-0.2971,0.1895,0.9101,0.981
1.907000,-0.2951,0.1934,0.9160,0.986
1.913000,-0.2971,0.2002,0.9141,0.986
1.929000,-0.2834,0.1904,0.9278,0.992
1.937000,-0.2912,0.1787,0.9218,0.988
1.946000,-0.2951,0.1767,0.9160,0.983
1.955000,-0.2971,0.1738,0.9150,0.983
1.961000,-0.2912,0.1787,0.9141,0.980
1.973000,-0.2824,0.1787,0.9180,0.981
1.981000,-0.2834,0.1767,0.9248,0.987
1.994000,-0.2805,0.1846,0.9229,0.985
2.006000,-0.2814,0.1846,0.9169,0.980
2.011000,-0.2795,0.1816,0.9209,0.983
2.028000,-0.2786,0.1895,0.9248,0.987
2.037000,-0.2922,0.1944,0.9052,0.975
2.045000,-0.2932,0.1953,0.9062,0.976
2.052000,-0.2951,0.1874,0.9092,0.979
2.062000,-0.2912,0.1944,0.9111,0.980
2.072000,-0.2854,0.1827,0.9160,0.981
2.082000,-0.2844,0.1836,0.9209,0.985
2.091000,-0.2883,0.1836,0.9238,0.989
2.104000,-0.2883,0.1778,0.9209,0.986
2.117000,-0.2893,0.1718,0.9169,0.981
2.122000,-0.2912,0.1709,0.9180,0.983
2.136000,-0.2922,0.1816,0.9141,0.981
2.146000,-0.2893,0.1944,0.9150,0.983
2.159000,-0.2756,0.1865,0.9209,0.982
2.162000,-0.2795,0.1874,0.9238,0.986
2.172000,-0.2863,0.1836,0.9258,0.990
2.185000,-0.2932,0.1865,0.9150,0.983
2.191000,-0.2902,0.1874,0.9101,0.978
2.202000,-0.2873,0.1874,0.9150,0.981
2.215000,-0.2776,0.1874,0.9169,0.979
2.224000,-0.2951,0.1914,0.9169,0.986
2.240000,-0.2707,0.1972,0.9160,0.978
2.242000,-0.2756,0.1914,0.9278,0.989
